Sn,From,to,pm10,pm2.5,NO,NO2,NOX,CO,SO2,NH3,Ozone,Benzene
665,07-02-2023 22:00,07-02-2023 22:15,163,29,NA,80.9,48.8,0.69,NA,17.5,31.3,0.1
666,07-02-2023 22:15,07-02-2023 22:30,163,29,NA,80.3,48.4,0.81,NA,17.4,30.5,0.1
667,07-02-2023 22:30,07-02-2023 22:45,163,29,NA,78.4,47.5,0.85,NA,17.9,28.3,0.1
668,07-02-2023 22:45,07-02-2023 23:00,122,59,NA,77.1,47.1,0.89,NA,19.6,25.4,0.1
669,07-02-2023 23:00,07-02-2023 23:15,122,59,NA,77.1,48,0.88,NA,21.3,22.1,0.1
670,07-02-2023 23:15,07-02-2023 23:30,122,59,NA,77.4,48.8,0.87,NA,21.9,19.3,0.1
671,07-02-2023 23:30,07-02-2023 23:45,122,59,NA,77.9,50,0.85,NA,22.5,20.6,0.1
672,07-02-2023 23:45,08-02-2023 00:00,197,49,NA,78.4,50.3,NA,NA,22.8,24.4,0.1
673,08-02-2023 00:00,08-02-2023 00:15,197,49,NA,80.1,51.6,1.31,NA,22.7,14.6,0.1
674,08-02-2023 00:15,08-02-2023 00:30,197,49,NA,81,52.6,1.52,NA,23,6.4,0.1
675,08-02-2023 00:30,08-02-2023 00:45,197,49,NA,79.8,53.5,1.59,NA,24,5.8,0.1
676,08-02-2023 00:45,08-02-2023 01:00,157,85,NA,80.4,55.2,1.58,NA,24.3,4.1,0.2
677,08-02-2023 01:00,08-02-2023 01:15,157,85,NA,81.4,57.3,1.58,NA,24.1,5.3,0.2
678,08-02-2023 01:15,08-02-2023 01:30,157,85,NA,81.4,59.6,1.49,NA,23.8,5.1,0.2
679,08-02-2023 01:30,08-02-2023 01:45,157,85,NA,82,61.3,1.53,NA,23.7,4.6,0.2
680,08-02-2023 01:45,08-02-2023 02:00,307,78,NA,82.4,63.2,1.56,NA,23.9,4.9,0.2
681,08-02-2023 02:00,08-02-2023 02:15,307,78,NA,82.2,64.9,1.47,NA,23.9,5.7,0.2
682,08-02-2023 02:15,08-02-2023 02:30,307,78,NA,82.4,66.5,1.48,NA,24.1,5.4,0.2
683,08-02-2023 02:30,08-02-2023 02:45,307,78,NA,82.4,68.5,1.51,NA,23.8,5.7,0.2
684,08-02-2023 02:45,08-02-2023 03:00,296,69,NA,81,69.9,1.5,NA,22.5,5.7,0.2
685,08-02-2023 03:00,08-02-2023 03:15,296,69,NA,80.3,71.2,1.53,NA,22.2,5.3,0.2
686,08-02-2023 03:15,08-02-2023 03:30,296,69,NA,79.6,72.3,1.45,NA,21.4,5.7,0.2
687,08-02-2023 03:30,08-02-2023 03:45,296,69,NA,78.4,72,1.56,NA,20.2,5.8,0.2
688,08-02-2023 03:45,08-02-2023 04:00,284,73,NA,77.3,71.8,1.51,NA,19.4,5.3,0.2
689,08-02-2023 04:00,08-02-2023 04:15,284,73,NA,76.2,72.5,1.45,NA,19.1,5.7,0.2
690,08-02-2023 04:15,08-02-2023 04:30,284,73,NA,74.5,72.5,1.39,NA,19.2,5.5,0.2
691,08-02-2023 04:30,08-02-2023 04:45,284,73,NA,72.6,72.8,1.28,NA,19.1,5.6,0.2
692,08-02-2023 04:45,08-02-2023 05:00,284,58,NA,72.2,73.7,1.26,NA,19,5.4,0.2
693,08-02-2023 05:00,08-02-2023 05:15,284,58,NA,73.8,74.7,1.2,NA,18.4,5.5,0.2
694,08-02-2023 05:15,08-02-2023 05:30,284,58,NA,73.7,75.4,1.2,NA,18.2,5.6,0.2
695,08-02-2023 05:30,08-02-2023 05:45,284,58,NA,73.2,75.4,1.17,NA,18.9,5.1,0.2
696,08-02-2023 05:45,08-02-2023 06:00,271,50,NA,73.6,75.1,1.12,NA,19.1,5.6,0.2
697,08-02-2023 06:00,08-02-2023 06:15,271,50,NA,74.7,75.2,1.04,NA,19.1,7,0.2
698,08-02-2023 06:15,08-02-2023 06:30,271,50,NA,75.9,74.2,1.03,NA,18.9,6.4,0.2
699,08-02-2023 06:30,08-02-2023 06:45,271,50,NA,75.9,72,1,NA,20.2,7.6,0.2
700,08-02-2023 06:45,08-02-2023 07:00,151,39,NA,75.8,70.7,1,NA,21.9,9,0.2
701,08-02-2023 07:00,08-02-2023 07:15,151,39,NA,78,70.3,1.04,NA,22.2,9.2,0.2
702,08-02-2023 07:15,08-02-2023 07:30,151,39,NA,79,68.9,1.21,NA,23.3,10.7,0.2
703,08-02-2023 07:30,08-02-2023 07:45,151,39,NA,80.1,68,1.29,NA,23.6,16,0.2
704,08-02-2023 07:45,08-02-2023 08:00,121,93,NA,80.4,66.6,1.21,NA,24.2,26.6,0.2
705,08-02-2023 08:00,08-02-2023 08:15,121,93,NA,82.2,66,1.12,NA,24.3,36.8,0.2
706,08-02-2023 08:15,08-02-2023 08:30,121,93,NA,83.4,64.7,1.12,NA,25,42.7,0.2
707,08-02-2023 08:30,08-02-2023 08:45,121,93,NA,85.9,64.3,1.1,NA,24.8,44.2,0.2
708,08-02-2023 08:45,08-02-2023 09:00,195,68,NA,87.2,63.2,1.06,NA,25.3,NA,0.2
709,08-02-2023 09:00,08-02-2023 09:15,195,68,NA,88.3,61.6,1.06,NA,25.3,NA,0.2
710,08-02-2023 09:15,08-02-2023 09:30,195,68,NA,89,60.4,1.06,NA,25,46.6,0.2
711,08-02-2023 09:30,08-02-2023 09:45,195,68,NA,90.2,59.3,1.02,NA,24.2,46.1,0.2
712,08-02-2023 09:45,08-02-2023 10:00,180,53,NA,90.9,58.3,NA,NA,25.6,47.6,0.2
713,08-02-2023 10:00,08-02-2023 10:15,180,53,NA,89.4,56.7,NA,NA,27.4,53,0.2
714,08-02-2023 10:15,08-02-2023 10:30,180,53,NA,87.3,55,1.85,NA,26.9,54.8,0.2
715,08-02-2023 10:30,08-02-2023 10:45,180,53,NA,85.5,53.6,0.98,NA,26,55.4,0.2
716,08-02-2023 10:45,08-02-2023 11:00,178,43,NA,81,50.9,0.97,NA,26.9,54.7,0.2
717,08-02-2023 11:00,08-02-2023 11:15,178,43,NA,76,48.2,0.96,NA,24.6,54.7,0.2
718,08-02-2023 11:15,08-02-2023 11:30,178,43,NA,73.6,46.1,0.93,NA,22.7,55,0.2
719,08-02-2023 11:30,08-02-2023 11:45,178,43,NA,71.3,43.2,0.85,NA,23.6,55.8,0.1
720,08-02-2023 11:45,08-02-2023 12:00,168,30,NA,NA,NA,0.78,NA,NA,57.4,0.1
721,08-02-2023 12:00,08-02-2023 12:15,168,30,NA,NA,NA,0.79,NA,NA,55.9,0.1
722,08-02-2023 12:15,08-02-2023 12:30,168,30,NA,NA,NA,0.81,NA,17.2,56.3,0.1
723,08-02-2023 12:30,08-02-2023 12:45,168,30,NA,60.9,37.5,0.8,NA,20.7,56.1,0.1
724,08-02-2023 12:45,08-02-2023 13:00,168,25,NA,60.3,37.9,0.81,NA,22.2,60.4,0.1
725,08-02-2023 13:00,08-02-2023 13:15,168,25,NA,53.8,36.9,0.81,NA,20.6,62.7,0.1
726,08-02-2023 13:15,08-02-2023 13:30,168,25,NA,44.3,35.6,0.82,NA,19.6,61.7,0.1
727,08-02-2023 13:30,08-02-2023 13:45,168,25,NA,42.2,33.8,0.87,NA,18.8,62.8,0.1
728,08-02-2023 13:45,08-02-2023 14:00,183,24,NA,40.1,31.8,0.86,NA,18.7,63.9,0.1
729,08-02-2023 14:00,08-02-2023 14:15,183,24,NA,40.5,31.6,0.86,NA,18.9,62.8,0.1
730,08-02-2023 14:15,08-02-2023 14:30,183,24,NA,43.4,32.6,0.86,NA,21.1,62.7,0.1
731,08-02-2023 14:30,08-02-2023 14:45,183,24,NA,44.2,31.9,0.88,NA,20.6,61.6,0.1
732,08-02-2023 14:45,08-02-2023 15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,08-02-2023 15:00,08-02-2023 15:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
734,08-02-2023 15:15,08-02-2023 15:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
735,08-02-2023 15:30,08-02-2023 15:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,08-02-2023 15:45,08-02-2023 16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
737,08-02-2023 16:00,08-02-2023 16:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
738,08-02-2023 16:15,08-02-2023 16:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
739,08-02-2023 16:30,08-02-2023 16:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,08-02-2023 16:45,08-02-2023 17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
741,08-02-2023 17:00,08-02-2023 17:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
742,08-02-2023 17:15,08-02-2023 17:30,179,33,NA,NA,NA,NA,NA,NA,NA,NA
743,08-02-2023 17:30,08-02-2023 17:45,179,33,NA,72.6,44.3,0.98,NA,23.5,49.4,0.1
744,08-02-2023 17:45,08-02-2023 18:00,182,51,NA,68.8,42.7,0.96,NA,24,47.7,0.1
745,08-02-2023 18:00,08-02-2023 18:15,182,51,NA,66.1,41.7,0.95,NA,24.5,47,0.1
746,08-02-2023 18:15,08-02-2023 18:30,182,51,NA,64.4,40.9,0.97,NA,25,36.5,0.1
747,08-02-2023 18:30,08-02-2023 18:45,182,51,NA,65.3,41.7,1.01,NA,25.4,29.5,0.1
748,08-02-2023 18:45,08-02-2023 19:00,227,50,NA,66.6,43.6,1.02,NA,25.7,33.8,0.1
749,08-02-2023 19:00,08-02-2023 19:15,227,50,NA,69.8,45.4,0.98,NA,24.9,32.4,0.1
750,08-02-2023 19:15,08-02-2023 19:30,227,50,NA,72.1,47.5,1,NA,24.5,28.3,0.1
751,08-02-2023 19:30,08-02-2023 19:45,227,50,NA,73.5,48.8,1.01,NA,23.4,24.7,0.1
752,08-02-2023 19:45,08-02-2023 20:00,238,41,NA,75.1,50.2,1.03,NA,22.8,20.8,0.1
753,08-02-2023 20:00,08-02-2023 20:15,238,41,NA,76.4,51.4,1.06,NA,21.4,20.6,0.1
754,08-02-2023 20:15,08-02-2023 20:30,238,41,NA,76.6,51.6,1.03,NA,20.2,20.9,0.1
755,08-02-2023 20:30,08-02-2023 20:45,238,41,NA,77.4,52.3,1.01,NA,19.7,14.7,0.1
756,08-02-2023 20:45,08-02-2023 21:00,238,42,NA,77.7,52.9,1.16,NA,19.2,9.9,0.1
757,08-02-2023 21:00,08-02-2023 21:15,238,42,NA,79,54.8,1.68,NA,18.8,6.2,0.1
758,08-02-2023 21:15,08-02-2023 21:30,238,42,NA,79.8,55.8,1.39,NA,18.5,5.2,0.2
759,08-02-2023 21:30,08-02-2023 21:45,238,42,NA,80.1,56.8,1.31,NA,18.8,8.1,0.3
760,08-02-2023 21:45,08-02-2023 22:00,182,126,NA,81.3,58.7,1.37,NA,18.9,6.4,0.3
761,08-02-2023 22:00,08-02-2023 22:15,182,126,NA,81.6,59.7,1.37,NA,19.3,7.3,0.3
762,08-02-2023 22:15,08-02-2023 22:30,182,126,NA,80.5,59.8,1.66,NA,20,6.8,0.3
763,08-02-2023 22:30,08-02-2023 22:45,182,126,NA,80.1,59.8,1.82,NA,20.4,6.3,0.4
764,08-02-2023 22:45,08-02-2023 23:00,345,223,NA,79.8,60.1,1.94,NA,21.1,5.1,0.4
765,08-02-2023 23:00,08-02-2023 23:15,345,223,NA,81.9,61.6,1.64,NA,20.9,5.2,0.5
766,08-02-2023 23:15,08-02-2023 23:30,345,223,NA,82.3,62.6,1.81,NA,21.3,5.3,0.5
767,08-02-2023 23:30,08-02-2023 23:45,345,223,NA,81.1,62.8,1.9,NA,23.7,5.3,0.5
768,08-02-2023 23:45,09-02-2023 00:00,489,171,NA,81.9,63.6,NA,NA,25.4,4.8,0.6
769,09-02-2023 00:00,09-02-2023 00:15,489,171,NA,82,64.5,1.51,NA,26.4,4.7,0.6
770,09-02-2023 00:15,09-02-2023 00:30,489,171,NA,83.7,64.6,1.47,NA,26.8,6.1,0.6
771,09-02-2023 00:30,09-02-2023 00:45,489,171,NA,84.1,64.5,1.25,NA,27.1,6.4,0.6
772,09-02-2023 00:45,09-02-2023 01:00,411,141,NA,84.4,64.4,1.45,NA,27.5,6.1,0.6
773,09-02-2023 01:00,09-02-2023 01:15,411,141,NA,85.6,64.5,1.31,NA,27.3,5.6,0.6
774,09-02-2023 01:15,09-02-2023 01:30,411,141,NA,85.4,63.7,1.28,NA,27.1,5.4,0.6
775,09-02-2023 01:30,09-02-2023 01:45,411,141,NA,84.5,62.1,1.34,NA,26.7,6,0.6
776,09-02-2023 01:45,09-02-2023 02:00,334,58,NA,82.8,60.7,1.19,NA,26.7,10,0.6
777,09-02-2023 02:00,09-02-2023 02:15,334,58,NA,82.2,59.8,1.1,NA,26.1,13.2,0.5
778,09-02-2023 02:15,09-02-2023 02:30,334,58,NA,79.9,57.7,1.06,NA,26.3,12.7,0.5
779,09-02-2023 02:30,09-02-2023 02:45,334,58,NA,79.3,56.6,1.15,NA,25.8,13.9,0.5
780,09-02-2023 02:45,09-02-2023 03:00,183,54,NA,78.6,55.5,1.28,NA,25.7,12.4,0.4
781,09-02-2023 03:00,09-02-2023 03:15,183,54,NA,78.1,54.7,1.11,NA,25.3,13.5,0.4
782,09-02-2023 03:15,09-02-2023 03:30,183,54,NA,76.2,53.1,1.16,NA,25.3,13.1,0.4
783,09-02-2023 03:30,09-02-2023 03:45,183,54,NA,73.7,51.1,1.4,NA,23.5,12,0.4
784,09-02-2023 03:45,09-02-2023 04:00,183,91,NA,72.1,50.5,1.29,NA,22.6,7.6,0.4
785,09-02-2023 04:00,09-02-2023 04:15,183,91,NA,70.7,49.9,1.24,NA,21.5,8.8,0.5
786,09-02-2023 04:15,09-02-2023 04:30,183,91,NA,69.2,49.2,1.2,NA,20.6,9.9,0.4
787,09-02-2023 04:30,09-02-2023 04:45,183,91,NA,67.5,47.7,1.24,NA,20.2,8.3,0.4
788,09-02-2023 04:45,09-02-2023 05:00,199,66,NA,66.9,47.4,1.25,NA,20.5,7.7,0.4
789,09-02-2023 05:00,09-02-2023 05:15,199,66,NA,65.9,47.4,1.21,NA,20,8.7,0.4
790,09-02-2023 05:15,09-02-2023 05:30,199,66,NA,64.4,46.7,1.18,NA,20,9.7,0.4
791,09-02-2023 05:30,09-02-2023 05:45,199,66,NA,63.3,46.1,1.19,NA,20.2,9.4,0.4
792,09-02-2023 05:45,09-02-2023 06:00,173,79,NA,61.9,45,1.69,NA,20.1,6.2,0.3
793,09-02-2023 06:00,09-02-2023 06:15,173,79,NA,61.7,45,1.99,NA,20.3,5.3,0.3
794,09-02-2023 06:15,09-02-2023 06:30,173,79,NA,61.5,46.6,1.9,NA,20.4,5.5,0.4
795,09-02-2023 06:30,09-02-2023 06:45,173,79,NA,61.5,49.2,1.53,NA,20.7,5.7,0.4
796,09-02-2023 06:45,09-02-2023 07:00,207,131,NA,62.2,50.8,1.18,NA,20.5,7.3,0.4
797,09-02-2023 07:00,09-02-2023 07:15,207,131,NA,62.2,50.9,1.48,NA,20.6,6.7,0.4
798,09-02-2023 07:15,09-02-2023 07:30,207,131,NA,61.9,50.6,1.44,NA,21.2,7.9,0.4
799,09-02-2023 07:30,09-02-2023 07:45,207,131,NA,60.4,49.6,1.45,NA,24.1,7.6,0.4
800,09-02-2023 07:45,09-02-2023 08:00,346,153,NA,61.7,49.7,2.2,NA,26,6.8,0.4
801,09-02-2023 08:00,09-02-2023 08:15,346,153,NA,65.9,52.2,1.92,NA,26.7,7.9,0.4
802,09-02-2023 08:15,09-02-2023 08:30,346,153,NA,69.8,55,1.49,NA,27,12.3,0.4
803,09-02-2023 08:30,09-02-2023 08:45,346,153,NA,72.9,56.1,1.21,NA,27.1,21.3,0.4
804,09-02-2023 08:45,09-02-2023 09:00,469,112,NA,74.5,55.2,1.12,NA,27.6,NA,0.4
805,09-02-2023 09:00,09-02-2023 09:15,469,112,NA,76.8,55.5,1.09,NA,27.7,NA,0.4
806,09-02-2023 09:15,09-02-2023 09:30,469,112,NA,78.1,55,1.06,NA,27.4,35.9,0.4
807,09-02-2023 09:30,09-02-2023 09:45,469,112,NA,79.1,53.4,0.98,NA,26.7,42.1,0.3
808,09-02-2023 09:45,09-02-2023 10:00,328,50,NA,79.3,51,NA,NA,26.6,46.7,0.3
809,09-02-2023 10:00,09-02-2023 10:15,328,50,NA,79.3,48.7,NA,NA,26.5,49.6,0.3
810,09-02-2023 10:15,09-02-2023 10:30,328,50,NA,77.5,46.9,1.89,NA,26.2,52.7,0.3
811,09-02-2023 10:30,09-02-2023 10:45,328,50,NA,75.9,45.9,0.97,NA,26.3,57.6,0.3
812,09-02-2023 10:45,09-02-2023 11:00,128,29,NA,72.6,43.8,0.95,NA,27.8,60,0.2
813,09-02-2023 11:00,09-02-2023 11:15,128,29,NA,70.8,42.7,0.93,NA,28.6,59.6,0.2
814,09-02-2023 11:15,09-02-2023 11:30,128,29,NA,68.5,41.5,0.9,NA,29,57.1,0.2
815,09-02-2023 11:30,09-02-2023 11:45,128,29,NA,64.1,38.9,0.88,NA,28.3,52.6,0.2
816,09-02-2023 11:45,09-02-2023 12:00,NA,20,NA,NA,NA,0.88,NA,NA,52.7,0.2
817,09-02-2023 12:00,09-02-2023 12:15,NA,20,NA,NA,NA,0.85,NA,NA,54.8,0.2
818,09-02-2023 12:15,09-02-2023 12:30,NA,20,NA,NA,NA,0.82,NA,19.3,58.6,0.2
819,09-02-2023 12:30,09-02-2023 12:45,NA,20,NA,50.4,31.9,0.76,NA,18.4,59.8,0.2
820,09-02-2023 12:45,09-02-2023 13:00,133,15,NA,48.8,31.3,0.77,NA,20.3,59,0.2
821,09-02-2023 13:00,09-02-2023 13:15,133,15,NA,47.7,30.8,0.77,NA,22,59,0.2
822,09-02-2023 13:15,09-02-2023 13:30,133,15,NA,47.5,29.9,0.78,NA,22.5,61,0.1
823,09-02-2023 13:30,09-02-2023 13:45,133,15,NA,48.4,30.3,0.78,NA,21.7,60.5,0.1
824,09-02-2023 13:45,09-02-2023 14:00,140,11,NA,47.6,30.7,0.78,NA,20.8,60.2,0.1
825,09-02-2023 14:00,09-02-2023 14:15,140,11,NA,39.7,29.5,0.77,NA,20.7,55.6,0.1
826,09-02-2023 14:15,09-02-2023 14:30,140,11,NA,35.3,27.5,0.74,NA,22.3,55.6,0.1
827,09-02-2023 14:30,09-02-2023 14:45,140,11,NA,33.8,27.5,0.76,NA,22.1,52.5,0.1
828,09-02-2023 14:45,09-02-2023 15:00,100,20,NA,37.8,29.9,0.66,NA,22.1,56.9,0.1
829,09-02-2023 15:00,09-02-2023 15:15,100,20,NA,40.7,31.3,0.7,NA,21.7,58.1,0.1
830,09-02-2023 15:15,09-02-2023 15:30,100,20,NA,44.3,32.4,0.7,NA,22.4,56.8,0.1
831,09-02-2023 15:30,09-02-2023 15:45,100,20,NA,46.1,32.6,0.7,NA,22.6,58.3,0.1
832,09-02-2023 15:45,09-02-2023 16:00,102,17,NA,49.1,33.7,0.71,NA,23.8,61.2,0.1
833,09-02-2023 16:00,09-02-2023 16:15,102,17,NA,52.3,35.3,0.73,NA,24.8,58.7,0.1
834,09-02-2023 16:15,09-02-2023 16:30,102,17,NA,55,36.5,0.74,NA,24.9,54.7,0.1
835,09-02-2023 16:30,09-02-2023 16:45,102,17,NA,55.4,36.1,0.76,NA,25,54.3,0.1
836,09-02-2023 16:45,09-02-2023 17:00,108,22,NA,55.1,35.7,0.77,NA,24.7,54.8,0.1
837,09-02-2023 17:00,09-02-2023 17:15,108,22,NA,54.8,35.5,0.8,NA,24.2,49.8,0.1
838,09-02-2023 17:15,09-02-2023 17:30,108,22,NA,54.1,35.4,0.8,NA,23.8,43.1,0.1
839,09-02-2023 17:30,09-02-2023 17:45,108,22,NA,52.9,35.2,0.79,NA,24.2,41.6,0.1
840,09-02-2023 17:45,09-02-2023 18:00,143,27,NA,50.1,34.5,0.79,NA,24.3,41.8,0.1
841,09-02-2023 18:00,09-02-2023 18:15,143,27,NA,45.7,34.3,1.01,NA,23.4,38.3,0.1
842,09-02-2023 18:15,09-02-2023 18:30,143,27,NA,40,32.9,2.19,NA,23.4,13.1,0.1
843,09-02-2023 18:30,09-02-2023 18:45,143,27,NA,36.2,33.6,2.19,NA,24,4.2,0.1
844,09-02-2023 18:45,09-02-2023 19:00,143,257,NA,33.4,35.9,2.73,NA,24.6,5.3,0.2
845,09-02-2023 19:00,09-02-2023 19:15,143,257,NA,30.9,39.4,2.37,NA,24.8,4.6,0.2
846,09-02-2023 19:15,09-02-2023 19:30,143,257,NA,29.7,43.2,2.28,NA,24.7,4.3,0.3
847,09-02-2023 19:30,09-02-2023 19:45,143,257,NA,31.2,46.5,2.36,NA,25.3,4.5,0.3
848,09-02-2023 19:45,09-02-2023 20:00,735,222,NA,33.5,52,2.35,NA,25.4,5,0.3
849,09-02-2023 20:00,09-02-2023 20:15,735,222,NA,35.6,56.3,2.18,NA,23.9,5.4,0.3
850,09-02-2023 20:15,09-02-2023 20:30,735,222,NA,39.3,60.5,1.87,NA,22.3,4.9,0.3
851,09-02-2023 20:30,09-02-2023 20:45,735,222,NA,40.9,64.9,2,NA,21.3,4.6,0.3
852,09-02-2023 20:45,09-02-2023 21:00,796,116,NA,42.8,66.9,1.4,NA,20.8,4.8,0.3
853,09-02-2023 21:00,09-02-2023 21:15,796,116,NA,43.6,68.9,1.5,NA,19.9,5,0.3
854,09-02-2023 21:15,09-02-2023 21:30,796,116,NA,44.8,69.8,1.91,NA,19.4,5.7,0.3
855,09-02-2023 21:30,09-02-2023 21:45,796,116,NA,45.4,69.5,1.94,NA,19.9,5.9,0.3
856,09-02-2023 21:45,09-02-2023 22:00,469,128,NA,47.2,70.7,2.03,NA,19.7,4.9,0.3
857,09-02-2023 22:00,09-02-2023 22:15,469,128,NA,48.7,71.3,2.81,NA,19.7,4.7,0.3
858,09-02-2023 22:15,09-02-2023 22:30,469,128,NA,50.6,73.1,2.63,NA,19.1,4.9,0.3
859,09-02-2023 22:30,09-02-2023 22:45,469,128,NA,50.6,75.3,2.27,NA,19.6,4.8,0.4
860,09-02-2023 22:45,09-02-2023 23:00,414,152,NA,52.8,78.5,2.16,NA,19.2,4.4,0.4
861,09-02-2023 23:00,09-02-2023 23:15,414,152,NA,53.4,80.9,1.99,NA,19.7,5.3,0.4
862,09-02-2023 23:15,09-02-2023 23:30,414,152,NA,54.8,82.9,1.67,NA,19.7,4.9,0.4
863,09-02-2023 23:30,09-02-2023 23:45,414,152,NA,55.9,85.6,1.74,NA,19.9,5,0.4
864,09-02-2023 23:45,10-02-2023 00:00,528,123,NA,56.1,87.8,NA,NA,20.2,5.5,0.4
865,10-02-2023 00:00,10-02-2023 00:15,528,123,NA,56.1,89.7,1.82,NA,22.3,5.1,0.4
866,10-02-2023 00:15,10-02-2023 00:30,528,123,NA,57.9,92,1.56,NA,25,4.7,0.4
867,10-02-2023 00:30,10-02-2023 00:45,528,123,NA,59,93.1,1.42,NA,27.1,4.5,0.4
868,10-02-2023 00:45,10-02-2023 01:00,561,133,NA,60.9,93.5,1.49,NA,27.7,4.6,0.4
869,10-02-2023 01:00,10-02-2023 01:15,561,133,NA,63.2,93.9,1.72,NA,26.9,5.4,0.4
870,10-02-2023 01:15,10-02-2023 01:30,561,133,NA,65.9,94.5,2.12,NA,26.6,5,0.4
871,10-02-2023 01:30,10-02-2023 01:45,561,133,NA,67.1,94.8,1.92,NA,27.2,4.4,0.4
872,10-02-2023 01:45,10-02-2023 02:00,429,136,NA,68.2,95.1,1.84,NA,28.2,4.8,0.4
873,10-02-2023 02:00,10-02-2023 02:15,429,136,NA,69.1,96.8,1.83,NA,28.9,5,0.4
874,10-02-2023 02:15,10-02-2023 02:30,429,136,NA,70.8,99.3,1.73,NA,28.2,4.8,0.4
875,10-02-2023 02:30,10-02-2023 02:45,429,136,NA,72,100.8,1.67,NA,27.9,4,0.4
876,10-02-2023 02:45,10-02-2023 03:00,429,102,NA,71.9,101.7,1.74,NA,27.6,4.4,0.4
877,10-02-2023 03:00,10-02-2023 03:15,429,102,NA,72.1,101.6,1.81,NA,27.7,4.7,0.4
878,10-02-2023 03:15,10-02-2023 03:30,429,102,NA,72.7,101,1.8,NA,27.4,4.8,0.4
879,10-02-2023 03:30,10-02-2023 03:45,429,102,NA,74.3,100.2,1.84,NA,27.5,4.8,0.4
880,10-02-2023 03:45,10-02-2023 04:00,383,105,NA,73.9,98.4,1.95,NA,27.6,5,0.4
881,10-02-2023 04:00,10-02-2023 04:15,383,105,NA,72.6,96.3,1.96,NA,24.1,5.7,0.4
882,10-02-2023 04:15,10-02-2023 04:30,383,105,NA,73.6,95.2,1.96,NA,22,5.4,0.4
883,10-02-2023 04:30,10-02-2023 04:45,383,105,NA,74.3,93.1,2,NA,21.2,4.7,0.4
884,10-02-2023 04:45,10-02-2023 05:00,295,107,NA,73.5,92.4,2.1,NA,20.6,4.9,0.4
885,10-02-2023 05:00,10-02-2023 05:15,295,107,NA,72.7,94.2,2.28,NA,20.1,5.1,0.4
886,10-02-2023 05:15,10-02-2023 05:30,295,107,NA,72.3,97.3,2.39,NA,19.8,4.5,0.4
887,10-02-2023 05:30,10-02-2023 05:45,295,107,NA,72.2,100.2,2.11,NA,19.9,4.7,0.4
888,10-02-2023 05:45,10-02-2023 06:00,310,136,NA,71.6,104.1,2.02,NA,20.1,5.1,0.4
889,10-02-2023 06:00,10-02-2023 06:15,310,136,NA,72.8,108.2,2.08,NA,19.7,5.2,0.4
890,10-02-2023 06:15,10-02-2023 06:30,310,136,NA,71.5,110.4,2.11,NA,19.7,5.1,0.4
891,10-02-2023 06:30,10-02-2023 06:45,310,136,NA,70.1,111.8,2.11,NA,20.2,5,0.4
892,10-02-2023 06:45,10-02-2023 07:00,486,151,NA,71,112.8,2.16,NA,20.1,4.9,0.4
893,10-02-2023 07:00,10-02-2023 07:15,486,151,NA,71.7,114.4,2.15,NA,20.5,5.1,0.4
894,10-02-2023 07:15,10-02-2023 07:30,486,151,NA,72.2,115.1,1.98,NA,19.5,4.9,0.4
895,10-02-2023 07:30,10-02-2023 07:45,486,151,NA,71,113.4,1.95,NA,20.1,4.8,0.4
896,10-02-2023 07:45,10-02-2023 08:00,467,113,NA,70,111.4,1.9,NA,21.1,5.1,0.4
897,10-02-2023 08:00,10-02-2023 08:15,467,113,NA,69.6,108.1,1.42,NA,22.8,7.9,0.4
898,10-02-2023 08:15,10-02-2023 08:30,467,113,NA,70.6,104.5,1.25,NA,25.4,13.6,0.4
899,10-02-2023 08:30,10-02-2023 08:45,467,113,NA,72.8,101,1.25,NA,27,18.3,0.4
900,10-02-2023 08:45,10-02-2023 09:00,321,47,NA,75.9,98.2,1.24,NA,28,NA,0.4
901,10-02-2023 09:00,10-02-2023 09:15,321,47,NA,78.2,96,1.25,NA,28.5,NA,0.4
902,10-02-2023 09:15,10-02-2023 09:30,321,47,NA,82.3,94.7,1.26,NA,28.7,27,0.4
903,10-02-2023 09:30,10-02-2023 09:45,321,47,NA,84.1,92.9,1.03,NA,29.6,29.9,0.4
904,10-02-2023 09:45,10-02-2023 10:00,141,54,NA,84.6,91,NA,NA,30.1,36.4,0.3
905,10-02-2023 10:00,10-02-2023 10:15,141,54,NA,86.6,88.3,NA,NA,30,46.1,0.3
906,10-02-2023 10:15,10-02-2023 10:30,141,54,NA,86.9,82.1,1.71,NA,28.9,52,0.3
907,10-02-2023 10:30,10-02-2023 10:45,141,54,NA,85.3,74.8,0.85,NA,28.8,54.9,0.3
908,10-02-2023 10:45,10-02-2023 11:00,141,27,NA,83,68.3,0.82,NA,30.1,56.8,0.3
